City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,150000.0,1363419.0,6652.0,2000.0,5000000.0,150000.0,2512026.0,450000.0,10170401.0,350000.0,3384976.0,3120135.0,3750000.0,7934259.0,3121811.0,595365.0,391351.0,413583.0,11250000.0,3229778.0,10724326.0,194745.0,5489116.0,2397220.0,885479.0,71081.0,40000.0,1780086.0,2800398.0,319945.0,1898699.0,25000.0,400000.0,35000.0,4101193.0,1276118.0,1438559.0,0.0,110605242.0
South Ogden,200000.0,6638827.0,97171.0,30000.0,7000.0,3907004.0,150000.0,2250000.0,39823461.0,80000.0,4598552.0,5865210.0,5000000.0,73747912.0,296633.0,3021511.0,1213736.0,1467604.0,4000000.0,190024551.0,27886572.0,1983201.0,11822965.0,10037505.0,3296638.0,493803.0,20000.0,1227664.0,12913959.0,1779549.0,4249699.0,20000.0,13750000.0,60000.0,5462575.0,1275801.0,1648584.0,0.0,655412433.0
Riverdale,1000.0,294604.0,8000.0,100000.0,2000.0,106646.0,1750000.0,1250000.0,66185724.0,7000.0,3621856.0,2103748.0,3500000.0,162743757.0,84278050.0,48736096.0,42108250.0,70414642.0,4750000.0,216101540.0,7239832.0,13875005.0,10927593.0,16566603.0,39199451.0,460342.0,15000.0,1621213.0,16523789.0,1691779.0,53733632.0,60000.0,9250000.0,30000.0,4693794.0,1252567.0,2494661.0,-5000.0,1339504761.0
Midvale,7000.0,9761984.0,162435.0,250000.0,25000.0,1456038.0,17688720.0,18922624.0,114641890.0,100000.0,29025076.0,33853967.0,10000000.0,58984130.0,47143088.0,32775952.0,12328282.0,12514234.0,35000000.0,53242732.0,87501059.0,10157572.0,31484233.0,26462219.0,36016645.0,3696854.0,90000.0,5330652.0,35195945.0,15716173.0,11626252.0,320143.0,27750000.0,202422.0,98806757.0,8709352.0,16800259.0,0.0,1122567468.0
Salt Lake City,889834.0,128581194.0,41754686.0,17933422.0,7422738.0,12506132.0,373238189.0,166472977.0,929291786.0,29232279.0,548644926.0,249237246.0,70750000.0,830288896.0,331174253.0,270284294.0,153023533.0,99796723.0,121103826.0,543676575.0,541001592.0,93423170.0,364614249.0,348262911.0,97428212.0,72136980.0,2099226.0,76841824.0,341993983.0,238387229.0,475566354.0,8889419.0,264268967.0,44586079.0,942773677.0,170030141.0,170546524.0,150000.0,10914192709.0
Taylorsville,40000.0,5321911.0,488058.0,50000.0,3000.0,522004.0,1500000.0,6954210.0,111116485.0,200000.0,10025874.0,8943057.0,15250000.0,26295916.0,1808214.0,24935839.0,7959159.0,1748469.0,15250000.0,106426319.0,59418702.0,4620328.0,35163345.0,18746354.0,26927989.0,1935311.0,90000.0,8850063.0,36946094.0,7174812.0,9218051.0,266749.0,38250000.0,162170.0,14311659.0,1791545.0,8721462.0,0.0,824314355.0
Woods Cross,2000.0,3932768.0,281098.0,-237000.0,3000.0,150000.0,5248865.0,1000.0,19274620.0,35000.0,14167294.0,21735047.0,4000000.0,142712668.0,14971056.0,2095105.0,4234333.0,5014399.0,2750000.0,3138928.0,43949221.0,1412675.0,11323853.0,10321184.0,4343839.0,1428244.0,10000.0,959328.0,9970173.0,2619596.0,7373964.0,312411.0,7750000.0,1149281.0,14418399.0,1221190.0,5737701.0,0.0,401434114.0
Vernal,15000.0,1101023.0,99980.0,20274085.0,0.0,1250143.0,9247151.0,1033612.0,40297076.0,1081367.0,13169522.0,7855092.0,7000000.0,34876709.0,32772685.0,18854076.0,4727429.0,4578296.0,7250000.0,106322742.0,43003695.0,3606519.0,10615868.0,18394457.0,13535962.0,684128.0,30000.0,1546401.0,19244286.0,1985890.0,15785531.0,105442.0,11250000.0,10513751.0,15605906.0,2710682.0,7741826.0,600000.0,666141255.0
Heber,150000.0,3510035.0,366540.0,150000.0,40000.0,1914474.0,9603498.0,3312841.0,38095074.0,476405.0,8544598.0,8142192.0,9000000.0,100633929.0,59253426.0,4463403.0,6902056.0,4147741.0,10500000.0,48919341.0,62903624.0,1380035.0,17688337.0,5878622.0,7824985.0,696821.0,40000.0,2413409.0,10784832.0,3944509.0,14277341.0,195308.0,11750000.0,359729.0,15258508.0,1611410.0,6641049.0,0.0,571985563.0
Murray,1250000.0,36597504.0,1621263.0,150000.0,25500000.0,3839612.0,22619452.0,13170727.0,157487452.0,824051.0,44411199.0,52925104.0,16750000.0,520395286.0,158660446.0,203208170.0,95550399.0,84438805.0,17736993.0,272542630.0,58099636.0,34760702.0,63752132.0,54365416.0,36029838.0,9060996.0,500000.0,16091451.0,51830460.0,21822258.0,27366361.0,266011.0,21250000.0,194227.0,165939829.0,16952109.0,25354083.0,100000.0,3132313566.0
