City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,93239.0,3390731.0,20389.0,20000.0,5000000.0,250000.0,3822941.0,444629.0,11677942.0,500000.0,4279032.0,4163761.0,6750000.0,9652275.0,6694435.0,1089552.0,829713.0,840816.0,12841994.0,3342285.0,13456702.0,365191.0,12371360.0,3120910.0,2458417.0,105314.0,3000.0,532646.0,2770240.0,903351.0,829676.0,232597.0,450000.0,40000.0,8546111.0,2449935.0,7197296.0,0.0,156657955.0
South Ogden,300000.0,8364089.0,102412.0,1000.0,15000.0,4915136.0,350000.0,3126914.0,42091911.0,90000.0,4477017.0,7091196.0,8250000.0,78906623.0,796070.0,5225632.0,1439642.0,1753627.0,5000000.0,237283589.0,32524586.0,2187315.0,29808065.0,12815674.0,4710728.0,1033698.0,30000.0,1034690.0,14454234.0,2686601.0,4012566.0,319068.0,14500000.0,20000.0,9320902.0,1204182.0,1763636.0,0.0,812741078.0
Riverdale,1000.0,5519819.0,22236.0,150000.0,1000.0,124479.0,2000000.0,2000000.0,83117285.0,90000.0,5520126.0,3055572.0,4250000.0,213409063.0,122389189.0,50826322.0,43597360.0,78787487.0,5500000.0,253604929.0,8901949.0,14003787.0,23733188.0,19448217.0,52650911.0,636043.0,5000.0,1773058.0,18365770.0,3996823.0,86956977.0,255536.0,9500000.0,200000.0,4408797.0,1862464.0,4807756.0,0.0,1644146692.0
Midvale,22661.0,12515425.0,924433.0,200000.0,45000.0,1831509.0,18235048.0,21631345.0,139341223.0,150000.0,40338659.0,36292679.0,12250000.0,67576910.0,93889876.0,40324550.0,17409734.0,11095314.0,37500000.0,63446551.0,94079833.0,10141832.0,69448719.0,31843118.0,55803842.0,4336439.0,35000.0,6520916.0,41300992.0,26428869.0,14252389.0,1276033.0,28750000.0,437065.0,134385040.0,9549265.0,10747049.0,0.0,1423198292.0
Salt Lake City,1298758.0,200332735.0,45671472.0,50522255.0,8500000.0,19085053.0,272516857.0,124823597.0,865808664.0,14746753.0,725890835.0,289419867.0,104000000.0,1020702513.0,555225228.0,302539404.0,186790165.0,141927514.0,128442770.0,599311728.0,588297038.0,95441130.0,610342391.0,382306947.0,131826933.0,70368436.0,2332097.0,71940422.0,411187569.0,298403522.0,531450435.0,25643225.0,277835023.0,57373712.0,1234416092.0,206725634.0,134543498.0,7000.0,12782227088.0
Taylorsville,44894.0,6801298.0,550643.0,90000.0,40000.0,803347.0,2000000.0,7303148.0,132081310.0,150000.0,11600520.0,9981532.0,21750000.0,32128189.0,3302090.0,29868792.0,11101679.0,2956329.0,19000000.0,142637138.0,64146708.0,6202844.0,83797830.0,24097074.0,32126855.0,2177872.0,30000.0,10279481.0,32913694.0,13367846.0,9165277.0,542262.0,38750000.0,933783.0,24208773.0,3003790.0,7299838.0,0.0,1055767809.0
Woods Cross,5524.0,2330573.0,280484.0,300000.0,1000.0,168802.0,5625949.0,79118.0,25386089.0,3000.0,16507449.0,46114161.0,6250000.0,205281902.0,22046143.0,2965794.0,4933464.0,6014331.0,1750000.0,4465724.0,53561652.0,1755306.0,25094914.0,17776819.0,6044286.0,2149370.0,10000.0,984500.0,15034386.0,5008441.0,8801184.0,479380.0,8500000.0,1780362.0,27695272.0,1471628.0,2989694.0,0.0,575831805.0
Vernal,8537.0,2352002.0,125868.0,6046030.0,25000.0,1439301.0,11423105.0,1498205.0,49559580.0,544704.0,13276371.0,11201498.0,7750000.0,44322595.0,48880096.0,22552853.0,6399349.0,7539245.0,9000000.0,129483690.0,48769494.0,3691285.0,20710033.0,26001659.0,21620826.0,801968.0,20000.0,3127283.0,21752619.0,3484661.0,6464313.0,847520.0,10750000.0,11649149.0,16359111.0,3520478.0,6969975.0,0.0,807104830.0
Heber,1070300.0,6512420.0,446601.0,200000.0,90000.0,2141706.0,12644369.0,4180978.0,50226670.0,1250000.0,15598490.0,10330589.0,15500000.0,129933346.0,114320123.0,6673799.0,10626325.0,6096214.0,12000000.0,54211037.0,74864703.0,1414510.0,39874034.0,8402129.0,14219997.0,1662840.0,60000.0,2088690.0,12360960.0,5541030.0,17889654.0,599419.0,14500000.0,1005735.0,28032748.0,2464863.0,7465063.0,0.0,800742772.0
Murray,1628069.0,39077064.0,1800591.0,300000.0,26000000.0,4082513.0,21665786.0,14210938.0,168669874.0,415007.0,55671766.0,49507123.0,25500000.0,676323047.0,185199480.0,231240238.0,90443135.0,54264383.0,19132716.0,312722314.0,65316237.0,35632416.0,128980357.0,77065172.0,45136592.0,7722040.0,600000.0,16446742.0,72778140.0,42157447.0,27877805.0,1537408.0,22000000.0,1920366.0,167582177.0,17584147.0,23570105.0,-1000.0,3598934569.0
