City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,25000.0,945589.0,2000.0,150000.0,4500000.0,150000.0,2750000.0,250000.0,9808413.0,300000.0,3575249.0,2659211.0,3000000.0,8536914.0,2202965.0,452534.0,124690.0,375526.0,8500000.0,4535390.0,10689106.0,135209.0,939157.0,935856.0,589164.0,115229.0,1000.0,218828.0,3028523.0,195114.0,1538060.0,25000.0,500000.0,15000.0,1938882.0,1018891.0,1545856.0,0.0,91945725.0
South Ogden,150000.0,8301011.0,150000.0,3000.0,0.0,3966690.0,4000.0,2750000.0,36071862.0,100000.0,2840661.0,7243256.0,5250000.0,44470853.0,80000.0,1276592.0,888228.0,3938120.0,3250000.0,162970006.0,27697503.0,1772700.0,1682793.0,6826187.0,3092786.0,875335.0,0.0,463124.0,15243634.0,1417995.0,3111692.0,2000.0,15000000.0,30000.0,3278341.0,842043.0,2981991.0,0.0,552039022.0
Riverdale,0.0,346146.0,15000.0,0.0,0.0,-23000.0,1500000.0,1250000.0,52219294.0,1750000.0,3739560.0,1892122.0,2500000.0,165520167.0,59931587.0,44213860.0,38416547.0,61226917.0,3000000.0,197094321.0,6500000.0,9264116.0,3561589.0,25468175.0,39276018.0,345754.0,0.0,1738897.0,12691542.0,709702.0,41303329.0,150000.0,10250000.0,80000.0,4051323.0,1090538.0,2210882.0,0.0,1211394340.0
Midvale,0.0,9768657.0,183051.0,800000.0,25000.0,1211370.0,15918686.0,14522367.0,94342779.0,300000.0,23855233.0,27583951.0,7250000.0,55738236.0,42034573.0,31401701.0,23943154.0,13200250.0,16500000.0,50549746.0,86367795.0,9040824.0,8660967.0,28579996.0,45002434.0,2757824.0,6000.0,8204712.0,30779919.0,4333952.0,9031640.0,237062.0,29250000.0,400000.0,50196813.0,16259146.0,8782756.0,0.0,985475761.0
Salt Lake City,497535.0,83946760.0,39866108.0,14760337.0,6750000.0,11690735.0,313358368.0,133090044.0,778547098.0,23614466.0,396308638.0,231301234.0,67500000.0,695459815.0,270622438.0,271491622.0,134088891.0,84072738.0,110033170.0,488411107.0,511761058.0,88571604.0,113472737.0,278317013.0,102491167.0,46980035.0,1250000.0,71009383.0,304818813.0,212537623.0,394486894.0,10295217.0,280337577.0,23076815.0,791051446.0,142010049.0,86849414.0,1336807.0,9183837285.0
Taylorsville,40000.0,2303067.0,1962094.0,35000.0,1000.0,570912.0,900000.0,7242710.0,90756467.0,150000.0,7768515.0,8837653.0,13750000.0,25909150.0,1477675.0,14669834.0,19063697.0,1375165.0,16000000.0,101001551.0,65175156.0,4475852.0,7234035.0,18444785.0,27448725.0,1228331.0,9000.0,10689737.0,27756146.0,21090309.0,5517556.0,50000.0,41250000.0,90000.0,15055180.0,1801128.0,151710.0,0.0,763811749.0
Woods Cross,0.0,4868283.0,781165.0,-60000.0,2000.0,100000.0,5000000.0,150000.0,8944926.0,60000.0,12177616.0,15237686.0,3500000.0,115893155.0,15440765.0,1775687.0,2918059.0,3252424.0,3000000.0,2271036.0,10906037.0,1971706.0,1844648.0,7849930.0,3649137.0,1220133.0,2000.0,1014044.0,12951365.0,1830825.0,6098235.0,800000.0,7750000.0,900000.0,23101550.0,2674945.0,4805831.0,0.0,312171167.0
Vernal,8000.0,2205213.0,106485.0,8228018.0,0.0,1036958.0,9421777.0,741441.0,34083767.0,767071.0,11853450.0,9575410.0,3500000.0,22900238.0,24928691.0,15077321.0,4053687.0,4391447.0,6500000.0,94536610.0,41636589.0,2922421.0,2579589.0,19467848.0,13967508.0,425923.0,0.0,1661884.0,22282264.0,2167210.0,20769184.0,133236.0,15750000.0,7828699.0,23206888.0,3408902.0,8704065.0,150000.0,602027872.0
Heber,200000.0,2755753.0,52000.0,300000.0,60000.0,1515569.0,4982991.0,2277238.0,27479916.0,245824.0,4926698.0,7538171.0,7000000.0,59389596.0,38953144.0,3579891.0,5940452.0,1766098.0,8500000.0,42538281.0,53875813.0,1527690.0,2730519.0,3690246.0,7350435.0,532923.0,250000.0,1685428.0,9037574.0,1711698.0,5148581.0,100000.0,10750000.0,1000000.0,8966523.0,725757.0,9221657.0,0.0,413299559.0
Murray,1000000.0,31528767.0,1576056.0,60000.0,26750000.0,4252590.0,20212485.0,11432622.0,133727955.0,313360.0,43638364.0,54953223.0,17000000.0,500055833.0,108059670.0,201303884.0,56005499.0,80578763.0,14572159.0,247692341.0,71867081.0,32454361.0,18456529.0,54299967.0,47071273.0,8827669.0,400000.0,12013835.0,49821185.0,17548439.0,28628588.0,418644.0,22000000.0,206161.0,154045549.0,14934120.0,24351535.0,60000.0,2846515398.0
Springville,1000.0,15085860.0,160836.0,25000.0,15250000.0,846458.0,5250000.0,789257.0,36649433.0,150000.0,20665866.0,12108980.0,10000000.0,27056077.0,7989601.0,3218358.0,3357415.0,1819808.0,16500000.0,82301806.0,30511783.0,2556860.0,11133483.0,11766174.0,2728233.0,1611158.0,30000.0,2291475.0,21866533.0,3801708.0,5016951.0,50825.0,8750000.0,800000.0,22684342.0,4642113.0,7417796.0,200000.0,521384668.0
Lindon,8000.0,11555070.0,297798.0,4000.0,350000.0,40000.0,15000.0,900000.0,13417621.0,40000.0,29532071.0,12678801.0,6500000.0,118153809.0,121931878.0,1094942.0,6580410.0,5880168.0,2250000.0,70829195.0,450000.0,472541.0,4223679.0,9355742.0,2446912.0,2782844.0,1000.0,1916841.0,12555243.0,3642838.0,37983620.0,35000.0,13000000.0,200000.0,41640841.0,1601040.0,10942498.0,0.0,644254312.0
Moab,0.0,1344088.0,30785.0,150000.0,80000.0,563364.0,71371684.0,3909968.0,44162848.0,213832.0,7736922.0,1230203.0,5000000.0,11519713.0,4793268.0,5288642.0,887528.0,227076.0,43500000.0,5829488.0,13068283.0,8838016.0,1350147.0,10024694.0,6434121.0,516955.0,7000.0,545878.0,5692783.0,840521.0,9060159.0,80000.0,7000000.0,4500000.0,3942185.0,1943821.0,5014943.0,0.0,367808480.0
Roy,4000.0,834496.0,31646.0,40000.0,150000.0,551103.0,200000.0,2250000.0,34854216.0,350000.0,879431.0,6732451.0,9750000.0,38447744.0,1317868.0,2330485.0,2399914.0,4249555.0,15004689.0,3585634.0,97019033.0,3616797.0,3765744.0,5682509.0,1354301.0,371429.0,40000.0,2006619.0,17221256.0,1970589.0,4458402.0,15000.0,24500000.0,3000.0,5710322.0,1272077.0,3040039.0,0.0,334249233.0
Roosevelt,1000.0,793899.0,80000.0,7323671.0,700000.0,1924036.0,250000.0,2000.0,10843654.0,80000.0,18795413.0,7154553.0,3000000.0,26383895.0,2299779.0,582666.0,445491.0,900000.0,6250000.0,4006395.0,36469583.0,341675.0,1920047.0,3223096.0,275236.0,113184.0,0.0,685270.0,13134285.0,760032.0,8402476.0,250000.0,12500000.0,350000.0,8627053.0,4302650.0,15068349.0,70000.0,214583947.0
Brigham,30000.0,4308289.0,179761.0,6000.0,20000.0,1381446.0,3000000.0,1469917.0,22061789.0,359994.0,30056484.0,12895163.0,7750000.0,49628160.0,6744396.0,1757901.0,4032784.0,2176777.0,7978135.0,8675302.0,37063752.0,1288634.0,3459486.0,4436414.0,893848.0,335540.0,4000.0,2122761.0,13992565.0,1382729.0,3355331.0,25000.0,13250000.0,250000.0,25839484.0,1588444.0,1353274.0,0.0,306418355.0
Millcreek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy,1000000.0,25414291.0,1663183.0,60000.0,450000.0,3610475.0,32154556.0,14260861.0,167183103.0,30079834.0,40517039.0,56986615.0,31500000.0,458985711.0,122510099.0,98471004.0,71569253.0,22886620.0,22025192.0,315437762.0,152960374.0,27289410.0,28207628.0,60673684.0,110640548.0,11042584.0,1250000.0,10474340.0,108657746.0,24115066.0,40878094.0,836749.0,84500000.0,718174.0,168963356.0,14186972.0,19135172.0,-34000.0,3111091717.0
