City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,2000.0,1202900.0,4000.0,2000.0,4250000.0,200000.0,2750000.0,350000.0,9041320.0,70000.0,3116136.0,2359768.0,2750000.0,9402132.0,2151300.0,422121.0,95602.0,451360.0,9000000.0,4013812.0,9230107.0,138674.0,882720.0,854800.0,559379.0,261429.0,0.0,179332.0,2916630.0,169098.0,1275873.0,25000.0,450000.0,70000.0,2995777.0,1134064.0,1049910.0,0.0,89387992.0
South Ogden,0.0,5086060.0,100000.0,60000.0,0.0,4077232.0,0.0,2750000.0,33430778.0,60000.0,1734734.0,7025262.0,5000000.0,41424121.0,60000.0,1273028.0,596379.0,3644049.0,3250000.0,156697015.0,27108584.0,1213524.0,1391682.0,6813576.0,4299390.0,2160465.0,0.0,211450.0,15644651.0,1638758.0,2232320.0,15000.0,15250000.0,15000.0,2815128.0,881967.0,2195524.0,0.0,527957638.0
Riverdale,0.0,314683.0,15000.0,0.0,-1000.0,-28000.0,1250000.0,1500000.0,48041542.0,1500000.0,3577447.0,1647293.0,2250000.0,166061885.0,54324435.0,42835436.0,36880274.0,56953583.0,2500000.0,192650085.0,6688629.0,7297787.0,3634275.0,27112840.0,40973027.0,127923.0,0.0,758600.0,13103020.0,856094.0,37366474.0,60000.0,10250000.0,40000.0,4357050.0,795562.0,3376742.0,0.0,1176333718.0
Midvale,0.0,11895375.0,226106.0,200000.0,15000.0,1106476.0,14488856.0,1500000.0,84561747.0,500000.0,25711309.0,25349187.0,7000000.0,46241248.0,35125172.0,28456744.0,21943141.0,13033714.0,12750000.0,50125957.0,84870921.0,8696326.0,6626911.0,28883821.0,46454752.0,3610170.0,8000.0,5189197.0,32184986.0,3538314.0,14472917.0,290537.0,28000000.0,200000.0,46084316.0,20140576.0,13515028.0,15000.0,933646796.0
Salt Lake City,752654.0,73334794.0,35446250.0,20921260.0,7000000.0,10362355.0,296281440.0,112201530.0,746160508.0,16717167.0,388135341.0,231451739.0,53750000.0,660509502.0,240712973.0,272740886.0,131118037.0,73523045.0,108245253.0,465064206.0,495651343.0,81909596.0,106185589.0,294847994.0,109344357.0,38130929.0,1750000.0,62003825.0,314975436.0,196303839.0,371605866.0,10379113.0,289500000.0,22611064.0,797065052.0,120333979.0,86016152.0,2818446.0,8893034007.0
Taylorsville,45000.0,1322184.0,1759458.0,60000.0,1000.0,827308.0,1250000.0,7261632.0,82350187.0,150000.0,7986520.0,8867260.0,12750000.0,30326871.0,650586.0,13497421.0,15399490.0,1264038.0,14567600.0,100980997.0,63853723.0,3858030.0,5316036.0,17776378.0,25844763.0,1346326.0,9000.0,10157310.0,28653876.0,13416469.0,5125166.0,40000.0,41000000.0,150000.0,9537040.0,1958452.0,22297746.0,0.0,744886584.0
Woods Cross,0.0,4666175.0,421788.0,1000.0,3000.0,80000.0,5000000.0,50000.0,7813928.0,40000.0,18772065.0,13019248.0,3500000.0,120737585.0,8758914.0,1677704.0,2628476.0,3439057.0,5250000.0,2307776.0,4421662.0,1888773.0,1336826.0,8920885.0,2713449.0,1155418.0,0.0,1128531.0,7629389.0,1749397.0,5201344.0,600000.0,7500000.0,700000.0,25614924.0,2640078.0,4376697.0,0.0,305170209.0
Vernal,5000.0,3743930.0,203727.0,16089413.0,0.0,917576.0,11788953.0,847689.0,37110067.0,686839.0,15406301.0,13841443.0,4500000.0,26135725.0,30961131.0,17880933.0,5420774.0,5641784.0,7750000.0,102804443.0,46745449.0,3110450.0,3166112.0,27248467.0,17122291.0,509861.0,0.0,2263350.0,25531736.0,2910244.0,25889154.0,309877.0,13750000.0,7564982.0,34902762.0,4821144.0,-6883159.0,700000.0,698687467.0
Heber,200000.0,2597573.0,54956.0,15000.0,80000.0,1411849.0,4349090.0,2008272.0,25909093.0,159660.0,4098152.0,6397568.0,5500000.0,57813773.0,26396712.0,3898269.0,5205841.0,1762554.0,8750000.0,41896468.0,49127855.0,1687548.0,2195428.0,3177138.0,5840871.0,599032.0,15000.0,1603802.0,8471839.0,1781291.0,4935380.0,10000.0,10000000.0,900000.0,6830095.0,403020.0,5082777.0,0.0,373394595.0
Murray,900000.0,28686806.0,1180554.0,-73000.0,27000000.0,4368337.0,18519081.0,10972705.0,127375290.0,369455.0,35096743.0,56507540.0,14500000.0,458045092.0,100180169.0,199752235.0,51886680.0,79263043.0,14713748.0,255256162.0,71241784.0,30528466.0,15454433.0,56295056.0,49479614.0,6369748.0,200000.0,12979772.0,49240843.0,16436793.0,26443977.0,173031.0,21500000.0,151091.0,166604689.0,17294659.0,18999870.0,80000.0,2781322501.0
