City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,0.0,594458.0,1000.0,20000.0,3500000.0,150000.0,2000000.0,15000.0,5603233.0,250000.0,2254700.0,1650866.0,2250000.0,8004008.0,1565092.0,182924.0,67623.0,25000.0,8250000.0,1867388.0,6932424.0,501449.0,398726.0,1416879.0,46703.0,89960.0,0.0,392812.0,2745912.0,128019.0,886166.0,40000.0,250000.0,70000.0,787770.0,813870.0,1649686.0,35000.0,67834634.0
South Ogden,5000.0,5402501.0,60000.0,0.0,0.0,2402121.0,0.0,2500000.0,28383810.0,40000.0,375089.0,5005057.0,1750000.0,7393108.0,60000.0,623372.0,424677.0,3642546.0,1250000.0,109318358.0,31500000.0,482600.0,299399.0,5951737.0,3188057.0,1317065.0,0.0,195843.0,10752722.0,593001.0,1928571.0,1000.0,12500000.0,5000.0,733920.0,161267.0,3087361.0,0.0,366215529.0
Riverdale,0.0,77030.0,1000.0,4000.0,0.0,3000.0,900000.0,1250000.0,35096872.0,4076911.0,1924392.0,1511881.0,1750000.0,102312275.0,46358967.0,32836703.0,33298742.0,39235527.0,1750000.0,188001945.0,6250000.0,4162045.0,1018919.0,17284614.0,42563403.0,606261.0,1000.0,189946.0,9263067.0,576072.0,25756054.0,50000.0,9000000.0,30000.0,1711442.0,2140283.0,5124642.0,0.0,975299972.0
Midvale,1000.0,5540701.0,439948.0,60000.0,25000.0,925055.0,9581872.0,1500000.0,52173091.0,150000.0,18413991.0,18119072.0,5500000.0,25915281.0,22079603.0,22882024.0,14474130.0,11444168.0,11250000.0,36743180.0,66281661.0,4635704.0,1442028.0,26116975.0,42776268.0,2464586.0,10000.0,2895109.0,22464152.0,2626250.0,13680811.0,80000.0,22500000.0,150000.0,34723164.0,21036956.0,9205436.0,0.0,700709665.0
Salt Lake City,600000.0,54840376.0,31883143.0,13620355.0,7404517.0,14777117.0,199949141.0,110577524.0,537754598.0,9107090.0,339251495.0,186801242.0,80000000.0,425408018.0,142759380.0,181084526.0,102824453.0,55705009.0,78264152.0,334445624.0,366433228.0,52216990.0,72214549.0,227308058.0,101578278.0,35234422.0,150000.0,54610924.0,284019963.0,98873411.0,321290614.0,4932922.0,260250000.0,91534234.0,654270020.0,109957893.0,-4256976.0,250000.0,6776286302.0
Taylorsville,40000.0,1022139.0,2536881.0,60000.0,1000.0,463751.0,900000.0,5691899.0,63249418.0,150000.0,8060947.0,7386283.0,7750000.0,14100782.0,1859264.0,16777525.0,8559042.0,36355527.0,10544741.0,104238406.0,61895313.0,4756144.0,1629463.0,17208869.0,26431834.0,1932489.0,1000.0,7733410.0,32445867.0,3112674.0,4105451.0,10000.0,33500000.0,90000.0,4794566.0,630578.0,7825538.0,0.0,722732889.0
Woods Cross,0.0,2016395.0,9000.0,900000.0,1000.0,20000.0,2500000.0,800000.0,7496639.0,35000.0,16148385.0,8030400.0,2500000.0,83648000.0,1903085.0,1260826.0,1694608.0,1475696.0,4250000.0,8874112.0,2250000.0,1062795.0,782315.0,5718745.0,2273931.0,739881.0,0.0,1043179.0,6339196.0,661939.0,2789071.0,600000.0,5500000.0,1500000.0,15088097.0,2446832.0,3093448.0,0.0,222663288.0
Vernal,7000.0,976531.0,250000.0,48716138.0,0.0,697428.0,12340119.0,643192.0,28249557.0,191958.0,22439349.0,11057285.0,5000000.0,22395661.0,33029996.0,8646259.0,5370261.0,5104663.0,8798857.0,100502806.0,37083454.0,843535.0,2233421.0,23343587.0,7703140.0,1043283.0,2000.0,2951184.0,23025941.0,1366238.0,25682519.0,80135.0,12250000.0,9203806.0,60655144.0,2467619.0,-2602027.0,674712.0,682817994.0
Heber,100000.0,1446037.0,50569.0,-64000.0,90000.0,739636.0,2483728.0,1538575.0,16733722.0,201689.0,1792505.0,3999572.0,3750000.0,20831689.0,10081143.0,623576.0,509537.0,954898.0,7939850.0,5887386.0,40578183.0,567652.0,808236.0,2901785.0,1038558.0,273150.0,0.0,933023.0,6084640.0,959093.0,1518794.0,30000.0,8500000.0,700000.0,3784702.0,350824.0,5324197.0,0.0,174496191.0
Murray,600000.0,22409770.0,1082846.0,25000.0,25500000.0,10805380.0,5250000.0,11138226.0,101496091.0,1784347.0,28369727.0,42135788.0,7500000.0,243065621.0,66172119.0,155669808.0,52855148.0,69856852.0,13896363.0,240901686.0,56910266.0,20284326.0,6485095.0,33733499.0,46388652.0,4644273.0,90000.0,9964618.0,48075692.0,10278711.0,18109052.0,3341744.0,20750000.0,5185472.0,92140320.0,12988359.0,25199042.0,0.0,2152011971.0
Springville,0.0,7675440.0,218332.0,20000.0,12500000.0,653245.0,1500000.0,528412.0,20167640.0,150000.0,26457776.0,6755242.0,6500000.0,14954833.0,6461766.0,1622750.0,2759493.0,1423592.0,10000000.0,94173661.0,15435756.0,1789487.0,6015272.0,6339351.0,1531320.0,1500988.0,0.0,1117213.0,14076894.0,2025976.0,3807148.0,35000.0,8000000.0,600000.0,15108457.0,2263255.0,8822006.0,0.0,422664959.0
Lindon,2000.0,10819416.0,294817.0,1000.0,0.0,100000.0,0.0,1250000.0,7759369.0,40000.0,21556700.0,5650458.0,3000000.0,63279875.0,54687474.0,507416.0,4537959.0,6764639.0,2000000.0,69334830.0,15000.0,346529.0,1186936.0,5844115.0,1890731.0,1950291.0,0.0,1286347.0,21013711.0,2819511.0,18375817.0,15000.0,11000000.0,60000.0,21863056.0,462650.0,1690365.0,0.0,432647231.0
Moab,0.0,496506.0,20000.0,350000.0,15000.0,400000.0,39509416.0,2229488.0,26015777.0,317609.0,5365727.0,1045302.0,2750000.0,10663212.0,3270072.0,3273503.0,1318363.0,349215.0,17250000.0,3033641.0,26225219.0,5214093.0,691487.0,6380788.0,3821586.0,300329.0,0.0,2117921.0,4999375.0,557909.0,5073715.0,35000.0,6250000.0,2250000.0,3585697.0,2171947.0,4856220.0,0.0,232880306.0
Roy,1000.0,339817.0,15000.0,0.0,0.0,439056.0,70000.0,2323239.0,25832580.0,150000.0,1109781.0,6740323.0,8750000.0,25642174.0,2000000.0,1417133.0,747023.0,3000000.0,12197341.0,3275230.0,71583626.0,2692117.0,1447607.0,4224800.0,1144939.0,453750.0,3000.0,804407.0,18364678.0,1161157.0,2781906.0,25000.0,21250000.0,15000.0,3780343.0,427259.0,4712906.0,0.0,257645775.0
Roosevelt,1000.0,901527.0,136524.0,6146901.0,150000.0,1198051.0,150000.0,395058.0,10134546.0,100000.0,7053595.0,7431563.0,2250000.0,27505992.0,16633338.0,459880.0,1457051.0,2000000.0,7500000.0,5666397.0,34737469.0,200994.0,748610.0,2931389.0,507237.0,69401.0,0.0,381412.0,10532439.0,4784011.0,8836715.0,45726.0,4250000.0,1250000.0,18790220.0,2891660.0,1448118.0,60000.0,210505498.0
