City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,0.0,969216.0,4000.0,80000.0,4500000.0,200000.0,2750000.0,250000.0,10174507.0,250000.0,4045836.0,2508399.0,3000000.0,8448341.0,2718280.0,525328.0,119370.0,396823.0,9500000.0,4645022.0,10056645.0,148502.0,2466674.0,1866350.0,677585.0,62128.0,60000.0,178241.0,3465416.0,184695.0,1403138.0,20000.0,500000.0,15000.0,3023290.0,1341995.0,2065629.0,0.0,100519390.0
South Ogden,200000.0,7568127.0,100000.0,1000.0,5000.0,4244108.0,25000.0,2500000.0,36982415.0,150000.0,3714471.0,6553704.0,5750000.0,49553110.0,70000.0,1823488.0,911011.0,4486662.0,3250000.0,172820745.0,26283651.0,1737007.0,5538798.0,8167461.0,2719989.0,300521.0,0.0,656035.0,15222850.0,1602551.0,3313691.0,20000.0,14500000.0,15000.0,4054262.0,700923.0,1856372.0,0.0,583334315.0
Riverdale,1000.0,1131932.0,6000.0,0.0,0.0,9629.0,1750000.0,1250000.0,55271889.0,600000.0,5053907.0,1912138.0,3500000.0,156976670.0,65505952.0,48070361.0,40125454.0,62318521.0,4250000.0,199003188.0,5071044.0,10620818.0,6225350.0,20674399.0,39189588.0,327429.0,1000.0,1687729.0,13131730.0,1007146.0,45415404.0,70000.0,10250000.0,40000.0,6271222.0,1123893.0,2454521.0,-18000.0,1234602243.0
Midvale,7000.0,8354659.0,179552.0,250000.0,25000.0,1249804.0,18251958.0,20159033.0,101902851.0,200000.0,22750659.0,29679678.0,8000000.0,59776219.0,43196018.0,32795083.0,26414122.0,12738091.0,30750000.0,52019070.0,88625036.0,9756049.0,15491328.0,25069602.0,42575783.0,2473465.0,6000.0,5407958.0,31826022.0,5202265.0,9056381.0,297087.0,29500000.0,600000.0,57072433.0,9288546.0,12280599.0,1000.0,1045643238.0
Salt Lake City,455914.0,143331120.0,38220978.0,13838364.0,7250000.0,13406445.0,347524422.0,155675064.0,824218048.0,17089750.0,445673486.0,216038850.0,67250000.0,772896502.0,308258125.0,270865828.0,141201329.0,86439051.0,114692578.0,515030173.0,517907488.0,94911760.0,187721729.0,303144765.0,90774895.0,46772157.0,1546907.0,77715338.0,331810903.0,220041587.0,448832180.0,9662632.0,264250000.0,19837201.0,858531748.0,157235544.0,98142350.0,1188070.0,9856106292.0
Taylorsville,40000.0,4307216.0,1500408.0,35000.0,2000.0,558090.0,800000.0,7288642.0,97629307.0,109952.0,7196841.0,11225562.0,14000000.0,23423306.0,2712044.0,18829968.0,8125880.0,1215133.0,15000000.0,101722365.0,61702059.0,5572267.0,16205265.0,19506650.0,25192695.0,1356587.0,45000.0,11559493.0,32902425.0,5671909.0,6231344.0,30000.0,40500000.0,200000.0,13271002.0,2105106.0,-64949425.0,0.0,688019049.0
Woods Cross,10000.0,6056678.0,272334.0,-15000.0,2000.0,250000.0,5500000.0,70000.0,12168282.0,300000.0,12826971.0,16474624.0,4250000.0,128765328.0,14488999.0,1883636.0,2474550.0,3929813.0,2750000.0,2336275.0,40192987.0,2065817.0,4688002.0,8265273.0,4257358.0,1275749.0,0.0,1239553.0,9955155.0,1935531.0,6298845.0,300000.0,8250000.0,900000.0,13121100.0,2571597.0,4174165.0,6000.0,352554344.0
Vernal,15000.0,2483342.0,100433.0,54926980.0,0.0,1007854.0,7793652.0,928866.0,35704238.0,303741.0,11198061.0,8388291.0,4750000.0,30235848.0,28355300.0,16152044.0,4681293.0,4645643.0,7000000.0,95791148.0,41410948.0,3416628.0,5483258.0,18909079.0,13642311.0,469158.0,0.0,3234183.0,20698535.0,1854660.0,21059489.0,119741.0,22250000.0,5751139.0,25783621.0,3004388.0,11505518.0,350000.0,677762277.0
Heber,350000.0,4459550.0,359761.0,9000.0,70000.0,1616978.0,5941396.0,2778582.0,32175041.0,420535.0,6408330.0,9161125.0,7750000.0,66622253.0,51691747.0,3392702.0,6425855.0,1749286.0,8750000.0,44382394.0,58026848.0,1574232.0,8723071.0,2555377.0,6971784.0,632240.0,4000.0,1777206.0,10139854.0,1770773.0,6124014.0,250000.0,11250000.0,600000.0,9976247.0,1015243.0,9375261.0,0.0,461332315.0
Murray,1250000.0,33562991.0,1580368.0,70000.0,26500000.0,4474149.0,21762938.0,12257564.0,140351073.0,423169.0,39264626.0,56586120.0,16000000.0,508202399.0,121260517.0,196352506.0,58455810.0,81716951.0,17361383.0,283236533.0,75300756.0,35369065.0,35113227.0,50709027.0,45634280.0,5751405.0,400000.0,14429981.0,48649498.0,17192259.0,26287161.0,149686.0,22250000.0,244401.0,169504023.0,16063858.0,23487577.0,200000.0,2976390542.0
