City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,0.0,6355542.0,2000.0,4000.0,4000000.0,150000.0,2250000.0,300000.0,7060290.0,250000.0,2520366.0,1826450.0,2250000.0,9558095.0,2082672.0,403990.0,89383.0,36850.0,8000000.0,2282183.0,8514131.0,139103.0,666722.0,3126316.0,210664.0,129514.0,0.0,145418.0,3397782.0,151352.0,1068639.0,45000.0,450000.0,1000.0,1675407.0,1008023.0,954745.0,0.0,85439126.0
South Ogden,6000.0,3956674.0,90000.0,1000.0,0.0,3153067.0,0.0,3000000.0,31967029.0,35000.0,355833.0,5628757.0,2500000.0,17916468.0,150000.0,962320.0,865470.0,3807571.0,1500000.0,127807056.0,29780638.0,764095.0,409466.0,6439029.0,3774668.0,1239868.0,1000.0,200241.0,11081396.0,1167501.0,1353109.0,1000.0,13750000.0,6000.0,1714293.0,200434.0,2345100.0,0.0,423851292.0
Riverdale,0.0,332735.0,6000.0,1000.0,0.0,9000.0,900000.0,1500000.0,40460503.0,6599337.0,2632173.0,1817248.0,1750000.0,130762832.0,46636601.0,40153662.0,35351580.0,43129010.0,2500000.0,183321609.0,7500000.0,6884883.0,1245845.0,23838331.0,41365963.0,182054.0,0.0,188628.0,10544919.0,507690.0,30155039.0,605633.0,9500000.0,25000.0,2064009.0,412817.0,1647910.0,60000.0,1051742682.0
Midvale,0.0,12939146.0,416635.0,30000.0,20000.0,1606456.0,10863952.0,1460161.0,60068818.0,250000.0,25010177.0,20131189.0,6500000.0,27806747.0,30990882.0,24699290.0,14485338.0,11873465.0,13500000.0,51176168.0,72354868.0,4511414.0,2736782.0,26634571.0,46077610.0,2238164.0,1000.0,3672768.0,27693570.0,2581386.0,12905713.0,142514.0,24750000.0,500000.0,41148198.0,24320827.0,6041637.0,0.0,805239816.0
Salt Lake City,477242.0,83468804.0,34991371.0,21792279.0,10000000.0,9253677.0,234973068.0,105446368.0,618708070.0,8971878.0,369483442.0,218508790.0,90000000.0,550439514.0,151388417.0,284384108.0,105431253.0,62796783.0,94686263.0,407240778.0,419337908.0,68489881.0,90291630.0,311087281.0,106004263.0,41601293.0,2000000.0,47431010.0,296829788.0,129299195.0,331104928.0,10907317.0,275000000.0,18811525.0,759864956.0,108693745.0,68004187.0,1521193.0,7999750132.0
Taylorsville,45000.0,687308.0,2637398.0,20000.0,2000.0,865813.0,700000.0,7124315.0,71517885.0,150000.0,6461976.0,6949819.0,8750000.0,15426579.0,1611560.0,16427544.0,37918332.0,36475134.0,12912533.0,102421533.0,54708211.0,3978495.0,2105454.0,15295778.0,23677022.0,2756602.0,1000.0,5018370.0,29577087.0,4386824.0,4593224.0,20000.0,38500000.0,300000.0,5053990.0,753866.0,8713114.0,0.0,777670137.0
Woods Cross,0.0,2840840.0,70000.0,30000.0,1000.0,35000.0,3250000.0,800000.0,7107057.0,45000.0,21849744.0,9326289.0,2500000.0,88303924.0,1550042.0,1406954.0,1869834.0,1666219.0,4250000.0,8478564.0,3983210.0,2178856.0,1231519.0,8039253.0,2776371.0,690960.0,0.0,666726.0,7326349.0,1354732.0,5361706.0,500000.0,6750000.0,600000.0,24704945.0,1649505.0,2424337.0,-3000.0,256781987.0
Vernal,15000.0,4340300.0,228245.0,68228241.0,3000.0,928041.0,21374380.0,806398.0,38125507.0,292423.0,28678498.0,16080982.0,7500000.0,34197815.0,46093667.0,12913684.0,6880806.0,6205288.0,9000000.0,121030849.0,43966492.0,1260597.0,3069005.0,34771452.0,12145172.0,669174.0,0.0,2387628.0,32978403.0,2717665.0,36653135.0,260278.0,10500000.0,5868408.0,92549468.0,3310811.0,3788740.0,2650906.0,916938584.0
Heber,150000.0,1711950.0,78843.0,10000.0,100000.0,1016685.0,2646934.0,1714967.0,19132977.0,200744.0,2238734.0,4092900.0,4500000.0,28292782.0,12633354.0,2597240.0,2397623.0,1037635.0,8603672.0,35499862.0,37606170.0,1119592.0,1158629.0,3456100.0,1390067.0,221412.0,1000.0,909722.0,6959585.0,988739.0,1606318.0,150000.0,8750000.0,700000.0,3959349.0,448317.0,3889399.0,0.0,258223092.0
Murray,600000.0,25015494.0,842923.0,30000.0,27250000.0,4689625.0,8500000.0,12126852.0,110939304.0,119206.0,30616996.0,44448982.0,12500000.0,348373243.0,86824392.0,189417322.0,50524378.0,77265501.0,13056358.0,259803239.0,62631055.0,29123308.0,10798564.0,38301183.0,49848062.0,5639750.0,80000.0,9860956.0,45057466.0,9857166.0,18713412.0,2750000.0,20250000.0,1750000.0,149517832.0,15960726.0,19864852.0,45000.0,2503082498.0
