City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,0.0,670260.0,2000.0,3000.0,4000000.0,150000.0,2000000.0,200000.0,6955751.0,234353.0,1503864.0,1946076.0,2750000.0,12307437.0,1772317.0,449480.0,94271.0,29555.0,7500000.0,2331463.0,9644309.0,174610.0,622199.0,1401786.0,212995.0,137617.0,0.0,142481.0,3018217.0,156983.0,1178911.0,30000.0,500000.0,6000.0,1554673.0,942969.0,-1488413.0,0.0,75359324.0
South Ogden,4000.0,7868107.0,150000.0,1000.0,0.0,3109016.0,0.0,2750000.0,31838142.0,50000.0,556255.0,5988253.0,3000000.0,29423637.0,60000.0,923724.0,555876.0,2932962.0,3250000.0,136080084.0,28172614.0,848761.0,912898.0,6166827.0,3888449.0,1380790.0,0.0,199228.0,12174746.0,1323063.0,2051287.0,3000.0,15500000.0,5000.0,2067584.0,213580.0,2505543.0,0.0,460604109.0
Riverdale,0.0,126213.0,6000.0,0.0,0.0,6000.0,1000000.0,1500000.0,43397154.0,6250000.0,2839522.0,1595547.0,2000000.0,150431786.0,49443397.0,41533081.0,33901713.0,44488593.0,2500000.0,184302495.0,7250000.0,6589120.0,2565621.0,25423425.0,41483076.0,77999.0,1000.0,209724.0,12147907.0,624784.0,32592988.0,80000.0,10500000.0,30000.0,2049644.0,459679.0,3751778.0,0.0,1091459749.0
Midvale,0.0,17731022.0,415265.0,10000.0,20000.0,1789025.0,12272087.0,1538013.0,68432869.0,150000.0,22484872.0,23797396.0,6250000.0,34838695.0,43053511.0,26155629.0,14082048.0,12491021.0,13500000.0,51730441.0,80231730.0,7437626.0,4473393.0,33177914.0,47631743.0,2480039.0,1000.0,4104378.0,26962567.0,3499161.0,13697358.0,305541.0,27500000.0,200000.0,46029323.0,22638251.0,7253333.0,0.0,884877214.0
Salt Lake City,374973.0,63368010.0,34450081.0,14564380.0,8750000.0,7273792.0,250518512.0,110283953.0,652830798.0,12800537.0,338875987.0,229822344.0,85000000.0,620179228.0,170009755.0,281027770.0,126624347.0,66109351.0,106146545.0,437995302.0,448476139.0,75288523.0,97396755.0,295097972.0,105300852.0,38177089.0,900000.0,54106353.0,290344959.0,149431551.0,327085998.0,12149220.0,287050512.0,19677325.0,695703614.0,107617965.0,99308460.0,5721550.0,8231580384.0
Taylorsville,45000.0,651059.0,2187914.0,45000.0,5000.0,667849.0,900000.0,6972437.0,72170989.0,150000.0,6529573.0,8570465.0,10250000.0,17405152.0,1776752.0,14840104.0,21827723.0,32695514.0,13379836.0,101948062.0,55552438.0,3866501.0,3265123.0,14326984.0,22692096.0,1725844.0,1000.0,9289385.0,27896482.0,12012009.0,4650167.0,25000.0,42500000.0,350000.0,5950566.0,784515.0,5214951.0,0.0,748723310.0
Woods Cross,0.0,3104927.0,50000.0,150000.0,1000.0,90000.0,4000000.0,25000.0,7259372.0,50000.0,13639901.0,9610888.0,2750000.0,104652298.0,2666785.0,1766661.0,1828220.0,2202591.0,4750000.0,8375943.0,3990500.0,2183510.0,989466.0,6642307.0,2990575.0,604687.0,0.0,1129140.0,7180121.0,1454646.0,5727586.0,400000.0,7250000.0,942694.0,16625274.0,1828438.0,1946921.0,0.0,259999258.0
Vernal,10000.0,6067687.0,212861.0,46652670.0,50000.0,950387.0,17650190.0,562442.0,36530800.0,205038.0,23248668.0,20684878.0,8000000.0,32412408.0,47488961.0,12505473.0,6025407.0,6217902.0,9363930.0,116550402.0,45566633.0,1815702.0,2964585.0,32659969.0,12650932.0,453215.0,0.0,3306617.0,33164673.0,2068881.0,35088946.0,286941.0,15000000.0,4410773.0,64293379.0,4531147.0,14042617.0,4193145.0,865964917.0
Heber,200000.0,1496485.0,60934.0,15000.0,70000.0,1230354.0,2604892.0,1539660.0,20321184.0,147386.0,2216208.0,4098503.0,5250000.0,32623519.0,18291707.0,3589993.0,3509741.0,1103590.0,8000000.0,38780707.0,41701131.0,1173693.0,1527939.0,3022449.0,1604437.0,564873.0,1000.0,1249427.0,7482201.0,1345738.0,2102106.0,9840.0,9500000.0,700000.0,5042968.0,427775.0,6293568.0,0.0,289693458.0
Murray,800000.0,25637992.0,679076.0,1000.0,27000000.0,4137374.0,7250000.0,12443607.0,111017261.0,432121.0,29051274.0,50549351.0,11500000.0,402475820.0,86072014.0,184193116.0,45822115.0,83394577.0,12815503.0,245451690.0,66189478.0,29630829.0,12769895.0,41651686.0,50587386.0,5331137.0,150000.0,13658847.0,46986315.0,11566407.0,19036026.0,200000.0,23000000.0,1167003.0,151009896.0,16626479.0,17813060.0,150000.0,2541995237.0
