City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,70000.0,1505744.0,32390.0,5000.0,5000000.0,200000.0,2199514.0,200000.0,9335360.0,350000.0,3214240.0,3544414.0,4500000.0,7616328.0,4202741.0,767146.0,689438.0,567988.0,12000000.0,3144174.0,12666228.0,266847.0,9693546.0,3204198.0,1788492.0,103170.0,3000.0,975753.0,2747279.0,616528.0,1329846.0,179592.0,400000.0,3000.0,6414280.0,1527112.0,1360042.0,0.0,125031265.0
South Ogden,250000.0,8595234.0,83946.0,2000.0,7000.0,6574508.0,150000.0,2750000.0,34505703.0,200000.0,13252083.0,6227602.0,6250000.0,73827079.0,541343.0,3845384.0,1279356.0,1607409.0,4750000.0,215752506.0,32631283.0,2091856.0,23222376.0,11194147.0,4634679.0,549293.0,35000.0,2006067.0,13069247.0,2307405.0,3489584.0,139531.0,14000000.0,10000.0,7213568.0,1401621.0,1777332.0,0.0,745519010.0
Riverdale,1000.0,1777993.0,13528.0,80000.0,1000.0,100668.0,1500000.0,2000000.0,66266427.0,60000.0,4584120.0,2126196.0,3000000.0,178575745.0,103774282.0,38668799.0,32401298.0,68724452.0,5250000.0,234414774.0,8527849.0,11189363.0,22488463.0,16101186.0,46036879.0,600869.0,5000.0,1670454.0,13379950.0,2715646.0,71444002.0,181620.0,9500000.0,500000.0,5310757.0,1546902.0,2437826.0,0.0,1409925419.0
Midvale,8012.0,8440002.0,858819.0,150000.0,25000.0,1624442.0,11372674.0,11264120.0,108971158.0,350000.0,35463008.0,33080454.0,10250000.0,61155757.0,64126796.0,29533647.0,16167650.0,9161485.0,32000000.0,55852058.0,95764366.0,9450740.0,62083996.0,24017987.0,43598369.0,3861811.0,60000.0,6619872.0,33300289.0,22795342.0,11278668.0,706245.0,28000000.0,318381.0,97094377.0,7080514.0,-2213449.0,0.0,1154160771.0
Salt Lake City,1033156.0,180712859.0,22685211.0,10638785.0,7381988.0,12059270.0,163719517.0,56171339.0,575248501.0,5316205.0,654386400.0,236884838.0,82500000.0,871268366.0,418058999.0,201543984.0,156835742.0,107046489.0,131205331.0,571976580.0,583187096.0,87190817.0,542783844.0,304883491.0,120939650.0,70270597.0,2025638.0,70782182.0,347001940.0,247544463.0,389007724.0,20794269.0,266681960.0,44510282.0,1015789542.0,170298060.0,116606855.0,4000.0,10569392323.0
Taylorsville,42260.0,5565025.0,393723.0,45000.0,25000.0,655692.0,1500000.0,5639004.0,108701212.0,1000.0,10730420.0,8337804.0,17750000.0,29163341.0,1952796.0,21770660.0,13722909.0,1880111.0,16750000.0,118210168.0,62239971.0,5682380.0,67721961.0,21709950.0,28633606.0,2301866.0,50000.0,8920228.0,28131972.0,11459129.0,8275357.0,1393626.0,37750000.0,162043.0,22260662.0,2028511.0,8713702.0,0.0,910024499.0
Woods Cross,3000.0,2264142.0,269529.0,-492000.0,2000.0,135827.0,3626056.0,10000.0,19845781.0,2000.0,16758485.0,31778673.0,5000000.0,165425845.0,19077512.0,2059291.0,4337066.0,5029870.0,1750000.0,4438190.0,52886571.0,1616275.0,20946256.0,13758013.0,6225548.0,1275515.0,15000.0,917384.0,13025714.0,3141076.0,7134125.0,413867.0,8250000.0,1907652.0,19539431.0,1226936.0,7812696.0,0.0,481041446.0
Vernal,10165.0,1514231.0,116815.0,7478510.0,400000.0,1397201.0,6779753.0,932416.0,40446875.0,454740.0,10206840.0,8114030.0,5250000.0,37028854.0,40896806.0,16588146.0,5060001.0,5953144.0,7402121.0,118205370.0,48026094.0,3279401.0,16942043.0,15408545.0,18512594.0,705444.0,30000.0,1746249.0,19605234.0,2446924.0,7202370.0,296573.0,10750000.0,8605600.0,11962519.0,1761958.0,4831197.0,0.0,677054658.0
Heber,757078.0,5261361.0,270277.0,90000.0,50000.0,2097109.0,7504819.0,3019621.0,39896060.0,400000.0,10842158.0,8475613.0,10750000.0,125084788.0,69106857.0,4648386.0,8388822.0,3840458.0,11750000.0,50526429.0,75889228.0,1658707.0,32254037.0,6704278.0,13449918.0,1220742.0,90000.0,2270844.0,11147715.0,4208002.0,15325279.0,465841.0,12500000.0,644878.0,19117197.0,1219151.0,13559905.0,0.0,675918397.0
Murray,1619548.0,40654833.0,2017248.0,150000.0,25500000.0,3957798.0,13303327.0,10218268.0,126179671.0,450000.0,41120845.0,50188321.0,19000000.0,557178666.0,174692018.0,145430665.0,82479623.0,78342661.0,17894019.0,274820684.0,63856100.0,26928711.0,109018892.0,60400217.0,36743666.0,6164140.0,600000.0,18523795.0,58158463.0,31622562.0,23529221.0,1127363.0,21000000.0,830427.0,114659531.0,18929428.0,29607199.0,0.0,3011065519.0
