City,A_AG_WILDLIFE,C_CONSTRUCTION,E_EDUCATION,E_EXTRACTION,G_GOVERNMENT,H_HEALTH_CARE,L_ACCOMMODATION,L_CULTURAL_REC,L_RSTRNT_BAR,L_SPECIAL_EVENT,M_MANUFACTURING,O_OTHER,R_AUTO_PRIVATE,R_AUTO_RETAIL,R_BUILDING_SUPPLY,R_CLOTHING,R_ELECTRONICS,R_FURNITURE,R_GAS_STATIONS,R_GENERAL_RETAIL,R_GROCERY_BEV,R_HEALTH_RETAIL,R_NONSTORE_RETAIL,R_OTHER_RETAIL,R_SPORT_HOBBY,S_ADMIN_SUPPORT,S_CORPORATE_MGMT,S_FINANCIAL,S_IT_DATA_20,S_PROF_TECH_SRV,S_RENTAL_LEASING,S_WHLSLE_ETRADE,U_UTILITIES,W_DISTRIBUTION,W_WHLSALE_DURABLE,W_WHLSLE_NDURABLE,X_ADJUSTMENTS,X_UNKNOWN,TOTAL
Nephi,0.0,870674.0,2000.0,150000.0,3750000.0,150000.0,2000000.0,150000.0,6899765.0,250000.0,2636291.0,1635045.0,2250000.0,8658385.0,1097843.0,314288.0,73918.0,32696.0,8000000.0,2090137.0,8095178.0,371581.0,469692.0,1579475.0,82474.0,111178.0,0.0,323454.0,3026422.0,137668.0,892985.0,40000.0,400000.0,40000.0,1206733.0,763985.0,1264959.0,60000.0,72461395.0
South Ogden,7000.0,7465386.0,80000.0,2000.0,0.0,3040087.0,0.0,2500000.0,30810786.0,150000.0,770528.0,5176947.0,1750000.0,7912197.0,45000.0,1026957.0,291511.0,3736623.0,900000.0,115698447.0,31220269.0,763437.0,356676.0,6657451.0,3453964.0,1353420.0,0.0,219279.0,9867740.0,626943.0,1574134.0,1000.0,13250000.0,2000.0,814977.0,158837.0,2982025.0,0.0,387195011.0
Riverdale,0.0,152334.0,7000.0,1000.0,0.0,7000.0,900000.0,1500000.0,37655413.0,5362293.0,2347514.0,1828663.0,1750000.0,113399810.0,44787190.0,34651732.0,33633176.0,41709548.0,2250000.0,184770504.0,7090208.0,4705530.0,1650530.0,17310338.0,43088252.0,272342.0,1000.0,165399.0,9999695.0,437047.0,23185625.0,70000.0,9500000.0,40000.0,1980205.0,2224041.0,3564986.0,0.0,994187455.0
Midvale,1000.0,8092405.0,440231.0,80000.0,30000.0,999601.0,10368058.0,1399614.0,58846214.0,200000.0,23773340.0,18962837.0,5750000.0,27392264.0,24624155.0,22808983.0,15583348.0,11830087.0,12000000.0,46533182.0,66358674.0,3702567.0,1594013.0,25525326.0,43495365.0,2133336.0,0.0,3425500.0,23113325.0,2515544.0,13748427.0,200000.0,24000000.0,250000.0,36591820.0,23798311.0,11583817.0,0.0,753430202.0
Salt Lake City,600000.0,52938424.0,38735162.0,12953954.0,8633640.0,10300286.0,213904808.0,80247710.0,567827286.0,8772595.0,346141689.0,211951142.0,88750000.0,491373939.0,148807715.0,188132917.0,121106772.0,57861200.0,86304966.0,369547977.0,390376739.0,57484361.0,93634208.0,242577348.0,100686475.0,37599793.0,1250000.0,54212071.0,286664756.0,98048692.0,339820810.0,5693080.0,277766320.0,20715337.0,701548438.0,115887491.0,80480387.0,481614.0,7239215198.0
Taylorsville,70000.0,603272.0,3113883.0,45000.0,1000.0,557031.0,600000.0,5671430.0,67122153.0,150000.0,6522339.0,7142143.0,8000000.0,15082853.0,1507476.0,15826373.0,16935291.0,39623943.0,12159384.0,101380041.0,59542963.0,4010405.0,1789991.0,16103084.0,27150880.0,2888491.0,1000.0,6682480.0,29349517.0,2740096.0,3816519.0,20000.0,36000000.0,200000.0,4972386.0,715716.0,8838995.0,0.0,740145536.0
Woods Cross,1000.0,3185235.0,60000.0,40000.0,0.0,35000.0,2750000.0,900000.0,6612741.0,2000.0,16083453.0,9540414.0,2500000.0,95199595.0,1521335.0,1484586.0,1574231.0,1873403.0,3500000.0,8550603.0,3661976.0,1153427.0,1127705.0,5395436.0,2571439.0,505207.0,0.0,841423.0,5964042.0,1024846.0,4127655.0,1250000.0,6250000.0,500000.0,29250902.0,2858895.0,3072437.0,-12000.0,252310111.0
Vernal,15000.0,2227527.0,223817.0,67047167.0,0.0,755835.0,14929584.0,695192.0,31981076.0,260299.0,23051618.0,13219781.0,7250000.0,28838352.0,36702639.0,9741984.0,6085930.0,6306271.0,8750000.0,108572347.0,40099065.0,987237.0,3015975.0,29413739.0,9129009.0,752108.0,0.0,2154662.0,25915045.0,1833648.0,26492152.0,195924.0,10750000.0,6704488.0,83376422.0,2207974.0,7905801.0,3421362.0,800191471.0
Heber,150000.0,2336069.0,119945.0,9000.0,90000.0,882835.0,2532378.0,1399904.0,17308781.0,215529.0,2354321.0,4025405.0,4250000.0,24232439.0,11061639.0,780183.0,668589.0,859974.0,8750000.0,19483779.0,38618637.0,921999.0,950783.0,4305085.0,1211634.0,477784.0,3000.0,994182.0,6850295.0,1223123.0,1598282.0,400000.0,9500000.0,800000.0,4553786.0,406592.0,3432292.0,0.0,215139487.0
Murray,600000.0,27681651.0,700456.0,20000.0,26000000.0,4609268.0,7000000.0,9594033.0,108519524.0,317934.0,31581083.0,42701525.0,9000000.0,282041035.0,75511018.0,179765860.0,58146486.0,69592392.0,13084119.0,249115722.0,60775986.0,27526065.0,8265408.0,39555898.0,48506803.0,5362006.0,100000.0,9154549.0,45207861.0,9836831.0,20204987.0,3750000.0,22000000.0,2206109.0,126451118.0,15489925.0,11417625.0,45000.0,2340481622.0
